HLTJdS,29/08/2000,153034
OsJEK3,25/08/2008,797055
5nZcMe,29/11/1954,475439
ugJUBY,21/04/1987,211773
fIDF8G,12/06/1992,63449
gMOStU,03/08/1981,275262
gQeAog,24/04/1965,583034
8NTPOx,10/05/1956,529757
eueYWK,18/07/1976,253695
cHyF36,28/08/1961,1143
brgSmQ,06/09/1972,846761
u2v58N,31/10/2003,321477
Dm8sAS,12/04/1973,408463
xvjPkQ,21/05/2003,197589
KfgBvi,08/01/1979,820417
YhIMGz,03/03/1946,337212
akcitJ,17/11/1948,495542
XohKTp,19/05/1979,643887
iBkmxK,23/10/1952,849707
pCv9JO,19/11/1990,713680
yJM1nf,19/07/1967,278996
hBsHVZ,24/04/1985,963679
TLzN3y,01/12/1989,441559
x9KMEK,25/06/2014,200435
b4Npsa,01/04/2006,430866
9UWFkV,27/08/1981,572909
6ZkOE9,20/04/1995,645485
NoAGca,16/01/1994,259187
L4f9I3,12/04/2000,348831
Lao097,09/03/1950,345235
QCU7yS,01/06/1950,60334
hi0b9Y,04/08/1959,950808
v6S8sf,23/07/1977,837187
0iOocE,17/03/1997,69996
GGgQbw,25/05/1985,908788
Z6liR3,20/03/1964,113712
mJ8waq,05/09/1997,678524
ssAM4V,29/07/1977,203640
9v8H9w,05/01/1972,439914
lD3czd,12/12/2000,904846
DzkOF6,24/09/1966,518139
zlFx3C,22/05/1988,228863
pJi5sT,20/04/1986,599711
UWs0pG,10/05/2008,658412
Gncclu,28/10/1966,749103
WZ0EOh,14/07/1957,639388
nziy4c,13/01/2008,743237
oZKn7u,08/12/1964,90288
8ot7OL,05/06/1964,700333
Py3YPX,17/11/1959,366737
Ea5FsK,18/11/1992,950588
RGYwEq,10/03/2001,997556
ZUR0Hj,26/05/1962,241518
xyaMn8,18/04/1983,679023
8taUH8,05/05/1962,133423
ie87pZ,17/07/1961,893157
pbgdNn,15/10/1956,639164
7dzjHT,24/05/1996,287721
y4XSCZ,29/05/1969,380918
gBAkjL,29/11/1977,404602
iseNkZ,29/05/1982,791253
abTKlu,06/01/1963,877883
zriQfZ,10/01/2011,191656
XiL0sZ,08/02/1996,503141
voCDA1,13/02/1963,952037
3oepQR,15/06/1945,133225
PvjvA8,03/04/1958,161558
ruVCOj,03/12/1958,621341
7xzxKC,24/11/2005,369441
9g70EE,21/06/2012,921353
qfrQv6,05/03/2001,637701
8aniiW,07/01/2007,866784
TiFzWO,20/08/2002,473709
x3F1cp,17/01/1952,153185
AJOv1a,15/08/1975,894613
tLOb1S,17/07/1987,502200
gXsjEo,07/09/1959,239666
Twk0q1,22/10/1995,176708
CiLdDc,21/07/1985,100089
7VYHPx,20/06/1974,218544
d34wd1,02/03/1990,47815
wVo7hk,12/05/1999,963747
35IvhM,09/04/1978,62654
TvxZ5v,26/09/1954,944277
GV03IA,16/01/1969,499286
N5a5Je,19/03/1989,647217
7CaJ2O,30/04/1976,433810
BQdxDG,12/02/1958,72626
6FcO6W,20/11/1986,850141
KK0ETG,19/07/1946,31075
lZ7jpd,22/03/1972,951392
vnbPau,26/10/1991,936532
06QhnD,18/06/1969,814803
WqzOoe,07/09/1963,78442
DTw0WY,22/10/1982,815434
tjFxFx,09/11/1992,729033
T9B4q8,07/01/1954,799412
A90Y3K,12/05/1992,98121
kbfsJm,26/06/1979,924976
0LSIgo,07/03/2011,827423
4tTGC7,04/05/1957,921199
Uz6vIf,15/09/1964,156963
Cx2Gsr,17/02/1978,926775
vX7r0B,09/07/1984,396376
xl7N2c,24/07/2003,522135
MDlky0,17/12/2002,831346
juNJFP,08/10/2004,419575
xN6wX6,07/01/1957,727300
gCbuIL,16/09/1956,718415
yWaWjL,01/01/2008,275850
KDnx8F,06/01/2008,581700
eDHCeE,01/08/1960,592592
fdbVm4,04/01/2010,70298
fQMsZR,26/07/1975,403906
U58HBU,22/03/2002,83264
VjQtdO,09/01/1985,68174
QAmb4B,15/12/1985,598212
OuraPH,27/03/1975,35618
V80xMO,14/06/2015,449081
FruwRS,25/11/1965,989224
mFekqP,30/01/2003,666473
PlK6ma,13/03/2005,144330
JjygyG,13/02/1984,664601
2X9E0c,20/02/2003,72296
QU8SWS,18/07/1953,705319
oI3ZQi,21/09/2006,985886
YD4xnQ,09/06/1949,793271
6OrgyO,01/06/1958,175999
6GOjuS,28/05/1992,76340
9MduUP,31/05/1967,1062
fVJ04Y,06/08/1987,495597
G06zPd,31/03/1993,93768
4LvYi9,19/09/1979,698817
GFMwug,06/03/1971,669309
rGb3Gu,07/09/2015,152379
StU07r,18/11/1988,213052
ii1bRU,12/04/2005,671420
eT1ZVY,29/12/1981,880715
vYMtRq,19/05/1970,898017
IdhI3l,26/11/1977,567653
RQaBuc,28/03/2008,106176
r1xHnH,23/05/2000,548512
kDjE9j,09/05/2004,666684
ewMbsd,04/08/1954,910544
hHBNGW,12/05/1982,705500
ww6vud,11/09/1953,69634
XQHhLx,27/06/1990,159625
Fi4Z5w,18/01/1987,262765
XxDb9j,05/02/1986,36526
C3uOhf,01/01/1959,830270
ZJcGAJ,06/10/1966,605090
ZrTBs3,26/01/1992,299739
Bcs4In,24/05/1957,719990
rGV7hG,09/12/1964,937308
fpA1lE,18/12/1959,198669
BsJmt9,28/09/1953,450834
aQDZR2,25/03/1972,478232
8Ip3X1,26/02/1979,872475
L9QF64,03/02/1969,349255
naasCl,27/10/1946,690559
NhKr9Z,07/12/1952,229684
jwEulZ,20/07/1958,418742
VST9P4,27/07/1966,223133
SJXiTa,07/11/1964,900659
cvmD4k,27/03/1962,775191
BGV1WD,08/04/2001,774829
TWLREw,19/02/1988,170847
Q223R9,10/01/1979,149230
bDeAfZ,23/01/1947,486607
6ssxSl,17/06/1988,274764
iZNALV,18/07/1956,387100
W6XnP9,20/10/2014,564909
rWJBHH,04/02/1997,526460
flPhim,27/09/1953,971403
bfjL7h,29/12/1948,639816
LTzyqX,12/04/1962,449343
EcyKo5,04/02/1982,508059
66NS2v,13/06/1973,921952
aYnlTr,15/04/1985,874396
6tOJn0,14/04/1972,182787
KlGP81,29/11/1987,641775
wOjSq3,22/08/2003,533591
TaUILx,18/10/1975,922885
j8Uvw1,16/04/1947,17612
sbxoAm,29/04/1989,150886
TlJnCT,01/11/1947,532569
FyYYRL,05/02/1971,742416
gVKF5X,18/12/1972,667744
bFtaLH,03/08/1966,823105
Z1kTO7,24/06/1955,298635
rOmnkq,06/06/2003,901323
0Ctk06,10/08/1986,941193
Y6qFpy,20/09/1968,697382
3q8FZw,19/03/1957,957056
Y3r846,16/11/1945,810628
Pvp0BX,18/03/1960,435954
SJUZZI,29/07/1981,191479
8HNVPH,11/11/1998,110228
eq9gzb,05/04/1957,868509
hRcUVH,10/05/1959,165923
tJcZIU,24/08/1955,308304
NQ2IM0,04/03/1954,938585
8jo3lF,10/11/1950,640392
mn0jFg,23/10/2006,826569
J0IDRB,04/08/1993,205160
YsVFwG,14/04/1965,319847
nkCh07,26/10/2003,105167
MXU3O3,03/12/1963,200982
XjPzrd,02/08/1987,283737
1yRjDc,01/01/1978,344924
MTzcTQ,02/05/2003,688623
pOj3GE,10/09/1997,252657
drI2Wr,29/04/1984,103413
5Mrqpz,10/10/2004,510655
yXpiqz,29/07/1949,171219
EDx4U2,11/09/2000,865406
QrBTrU,13/11/1999,40180
NPLF6R,07/06/1979,668222
